Page path and screen class,Session manual medium,Views,Users,Views per user,Average engagement time,Event count,Key events,Total revenue
/article/2024/02/penn-students-reaction-biden-israel-palestine-vote-election-2024,referral,766,660,1.160606061,19.17878788,2630,0,0
/article/2024/02/freedom-school-five-students-disciplinary-action-following-study-in,organic,762,206,3.699029126,33.07281553,1333,0,0
/article/2024/02/complaint-culture-hate-penn,organic,760,425,1.788235294,6.677647059,1106,0,0
/article/2024/03/writing-seminar-requirement-change,organic,760,202,3.762376238,60.19306931,1324,0,0
/article/2023/12/penn-abramson-cancer-center-vaccine-brca-genes,organic,759,310,2.448387097,27.80645161,1798,0,0
/article/2024/01/roach-glass-maggot-penn-dining-halls-sighting,email,757,545,1.388990826,0.001834862385,1788,0,0
/article/2024/03/penn-dining-viable-solution-impossible,referral,757,251,3.015936255,19.56573705,1619,0,0
/article/2024/01/penn-congress-house-education-workforce-antisemitism-investigation,organic,756,453,1.668874172,3.949227373,1433,0,0
/article/2024/01/penn-construction-update-spring-2024,organic,755,289,2.612456747,19.44982699,1423,0,0
/article/2024/03/clark-slajchert-transfer-penn-mens-basketball,referral,755,251,3.007968127,16.77290837,1605,0,0
/article/2017/02/trump-academics-at-wharton,referral,754,252,2.992063492,30.04365079,1557,0,0
/article/2024/03/penn-mens-squash-national-championship,organic,754,182,4.142857143,62.34065934,1421,0,0
/article/2024/04/penn-government-politics-all-party-debate-april-2024,email,754,309,2.44012945,54.24595469,1669,0,0
/article/2024/02/penn-antisemitic-cartoon-controversy-aaup,organic,748,397,1.884130982,15.56926952,1272,0,0
/article/2023/12/penn-donor-fundraiser-house-committee-antisemitism,organic,746,538,1.3866171,1.273234201,1007,0,0
/article/2024/03/penn-students-free-moral-choice,referral,746,212,3.518867925,43.44339623,1553,0,0
/article/2023/09/penn-us-news-rankings-best-national-universities-2024,organic,744,347,2.144092219,12.97982709,1583,0,0
/article/2024/04/penn-regular-decision-students-2028,email,744,253,2.940711462,38.96837945,1572,0,0
/article/2024/03/penn-ra-union-files-bargaining-complaint,email,738,288,2.5625,32.91666667,1631,0,0
/article/2024/04/penn-college-dean-paul-sniegowski-leaving,referral,738,226,3.265486726,24.95575221,1492,0,0
/article/2024/01/the-hate-i-felt-on-campus,email,737,571,1.290718039,0.292469352,1716,0,0
/article/2024/03/penn-mens-basketball-vs-princeton-column-conor-smith,referral,736,204,3.607843137,75.66176471,1580,0,0
/article/2024/04/penn-college-matching-pre-major-advisors,referral,733,199,3.683417085,15.70351759,1409,0,0
/article/2024/04/penn-ramadan-food-dining-hall-complaints,referral,733,256,2.86328125,38.1640625,1565,0,0
/article/2024/02/penn-president-next-search-questions,email,732,477,1.534591195,1.048218029,1273,0,0
/article/2024/04/penn-college-dean-paul-sniegowski-leaving,email,732,220,3.327272727,32.87727273,1442,0,0
/article/2024/02/freedom-school-leaves-van-pelt-study-in-relocates-houston-hall,organic,730,455,1.604395604,9.608791209,1106,0,0
/article/2024/03/penn-mens-lacrosse-duke-upset-win-1-team-nation,organic,729,207,3.52173913,46.352657,1523,0,0
/article/2015/01/top-infamous-and-famous-alumni,organic,721,302,2.387417219,20.07284768,1696,0,0
/article/2018/08/ivy-league-athletics-ten-year-update-brown-columbia-cornell-dartmouth-harvard-penn-princeton-yale-overall-rankings,organic,721,329,2.191489362,21.94224924,1769,0,0
/article/2023/11/penn-new-construction-renovation-campus-redevelopment,organic,721,236,3.055084746,29.95338983,1501,0,0
/article/2024/02/rosenthal-sues-university-trustees-upenn,referral,721,404,1.784653465,0.06188118812,1608,0,0
/article/2024/04/post-college-application-metamorphosis-penn-students,referral,719,230,3.126086957,27.47826087,1504,0,0
/article/2024/04/penn-cherelle-parker-philadelphia-school-board,organic,718,267,2.689138577,17.87265918,1549,0,0
/article/2024/04/penn-philadelphia-election-primary-ballot-guide-2024,email,714,258,2.76744186,56.60077519,1525,0,0
/article/2024/03/artificial-intelligence-major-penn-curriculum,organic,713,195,3.656410256,40.87179487,1287,0,0
/article/2024/01/penn-university-city-food-scene-2024,referral,712,555,1.282882883,0.1117117117,1718,0,0
/article/2024/02/penn-lawsuit-dental-school-wolff-singer-retaliation,referral,712,480,1.483333333,3.122916667,1610,0,0
/article/2024/03/penn-double-count-courses-general-education-foundational-sectors-fall-2024,referral,710,207,3.429951691,34.2173913,1421,0,0
/article/2024/04/penn-solar-eclipse-2024-jameson-reactions,email,710,238,2.983193277,36.71428571,1511,0,0
/article/2022/02/penn-olivia-kong-suicide-trial-settlement,organic,709,264,2.685606061,26.25,1447,0,0
/article/2024/04/penn-graduate-workers-union-election-postponed,organic,708,206,3.436893204,33.17961165,1278,0,0
/article/2024/04/new-autonomous-coalition-protest-ghost-robotics-penn,email,707,330,2.142424242,26.3030303,1602,0,0
/article/2024/02/penn-liberal-arts-elite-jobs-prestige,referral,705,460,1.532608696,4.676086957,1638,0,0
